"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8"
"02","CONPA01",747,"05/30/2000","053000-82","INV","575.00","Zone 4-5/26/00-$575.00"
"02","CONPA01",765,"05/30/2000","053000-83","INV","575.00","Zone 10-5/24/00-$575.00"
"02","CONPA01",765,"05/30/2000","053000-84","INV","575.00","Zone 4-5/26/00-$575.00"
"02","CONPA01",771,"05/30/2000","053000-85","INV","615.00","Zone 9-5/11/00-$615.00"
"02","CONPA01",794,"05/30/2000","053000-86","INV","180.00","Zone 7-3/13/00-$180.00"
"02","CONPA01",811,"05/30/2000","053000-87","INV","360.00","Zone 11-4/10/00-$360.00"
"02","CONPA01",813,"05/30/2000","053000-88","INV","365.00","Zone 8-4/28/00-$365.00"
"02","CONPA01",818,"05/30/2000","053000-89","INV","365.00","Zone 8-4/28/00-$365.00"
"02","CONPA01",819,"05/30/2000","053000-90","INV","365.00","Zone 8-4/28/00-$365.00"
"02","CONPA01",820,"05/30/2000","053000-91","INV","360.00","Zone 4-5/26/00-$360.00"
"02","CONPA01",821,"05/30/2000","053000-92","INV","340.00","Zone 10-5/24/00-$340.00"
"02","CONPA01",822,"05/30/2000","053000-93","INV","191.00","Zone 9-5/11/00-$191.00"
"02","CONPA01",823,"05/30/2000","053000-94","INV","540.00","Zone 9-5/11/00-$540.00"
"02","CONPA01",824,"05/30/2000","053000-95","INV","180.00","Zone 10-5/24/00-$180.00"
"02","CONPA01",827,"05/30/2000","053000-96","INV","343.00","Zone 10-5/24/00-$343.00"
"02","CONPA01",831,"05/30/2000","053000-97","INV","575.00","Zone 4-5/26/00-$575.00"
