"Paper color","Ink color","zone number","zone date","company name","phone number"
"GOLDEN","RED/BLK","1","1995-01-01","CAPITAL CHOICE TV","8997501"
"IVORY","R/GR","1","1995-03-01","BURNT HILLS BOOKS","3997004"
"CANARY","R/BLK","1","1995-03-01","CAPITAL CHOICE TV","8997501"
"PINK","RHOD/TEAL","1","1995-03-01","COAKLEY HOME TEXTILES","3828371"
"WHITE","RHOD/TEAL CARD","1","1995-03-01","DARLING LIMO","3722508"
"CANARY","R/BLUE","1","1995-03-01","DINO S PIZZA","3991622"
"BUFF","BORD/BLK","1","1995-03-01","DR. JUDD LESSER","3740385"
"PINK","TEAL/RHOD","1","1995-03-01","FRANK GALLO FLORIST","3466171"
"CHERRY","BLUE","1","1995-03-01","GAIL KING ELECTROLYSIS","3821591"
"GOLDEN","BORD/BLK","1","1995-03-01","GENE S CLEANING","3712462"
"IVORY","GR/BROWN","1","1995-03-01","HENRY S DRY CLEANERS","3748434"
"WHITE","R/TEAL","1","1995-03-01","J & J WINE & LIQUOR","3840649"
"IVORY","R/BLK","1","1995-03-01","JIFFY LUBE","8698835"
"BLUE","R/BLUE","1","1995-03-01","L ECOLE ENCORE","4371234"
"IVORY","R/GR","1","1995-03-01","LITTLE PROFESSOR BOOK","3992665"
"CHERRY","BLUE","1","1995-03-01","LOLLIPOPS","3990379"
"WHITE","R/BLK","1","1995-03-01","M & W WINDOW","3936969"
"CANARY","R/BLK","1","1995-03-01","MAYFAIR PAINT","3994551"
"CHERRY","BLK","1","1995-03-01","MONTANA S SERVICE","3829059"
"BUFF","R/BLK","1","1995-03-01","OASIS PIZZA","3840726"
"BUFF","R/BLK","1","1995-03-01","PAI S TAEKWON DO","3991008"
"BLUE","R/BLUE","1","1995-03-01","PARTIES & MORE","3991198"
"GREEN","GR/BLK","1","1995-03-01","PETTA S RESTAURANT","3467324"
"GREY","TEAL","1","1995-03-01","PHOTO IMAGES","3999100"
"GOLDEN","R/BLUE","1","1995-03-01","RAINDANCER CAR WASH","7867348"
"PINK","BORD/BLK","1","1995-03-01","ROTTERDAM HEAT","3562162"
"CANARY","R/BLK","1","1995-03-01","ROTTERDAM LANDSCAPING","6982100"
"PINK","TEAL","1","1995-03-01","WONG S CHINESE","3843300"
"WHITE","RHOD/TEAL","1","1995-07-01","BISAILLON S BAKERY","3996108"
"IVORY","RED/GREEN","1","1995-07-01","BURNT HILLS BOOKS","3997004"
"GREEN","GREEN/BLK","1","1995-07-01","BURNT HILLS OPTICAL","3996130"
"IVORY","RED/GREEN","1","1995-07-01","CACTUS CONCOCTIONS","3841979"
"GOLDEN","RED/BLK","1","1995-07-01","CAPITAL CHOICE TV","8997501"
"CHERRY","BLK","1","1995-07-01","DARLING LIMO","3722508"
"CANARY","RED/GREEN","1","1995-07-01","DINO S PIZZA","3991622"
"LILAC","TEAL/BORD","1","1995-07-01","EAGLE CREST  GOLF","8770406"
"SALMON","BORD/TEAL","1","1995-07-01","FRAMING CONCEPTS","3842261"
"PINK","RHOD/TEAL","1","1995-07-01","FRANK GALLO FLORIST","3466171"
"CHERRY","BLK","1","1995-07-01","GAIL KING ELECTROLYSIS","3821591"
"GOLDEN","BORD/BLK","1","1995-07-01","GENE S CLEANING","3712462"
"IVORY","BORD/BLK","1","1995-07-01","HOME FABRIC MILLS","9999999"
"WHITE","RHOD/TEAL","1","1995-07-01","J & J WINE & LIQUOR","3840649"
"GREY","BORD","1","1995-07-01","JEWELERS COLLECTIVE","3991186"
"IVORY","RED/GREEN","1","1995-07-01","LITTLE PROFESSOR BOOK","3992665"
"CHERRY","BLUE","1","1995-07-01","LOLLIPOPS","3990379"
"WHITE","R/BLK","1","1995-07-01","M & W WINDOW","3936969"
"TAN","BORD/BLK","1","1995-07-01","MANHATTAN EXCHANGE","3745930"
"CHERRY","BLK","1","1995-07-01","MONTANA S SERVICE","3829059"
"BUFF","RED/BLK","1","1995-07-01","OASIS PIZZA","3840726"
"BUFF","RED/BLK","1","1995-07-01","PAI S TAEKWON DO","3991008"
"BLUE","RED/BLUE","1","1995-07-01","PARTIES & MORE","3991198"
"BUFF","TEAL","1","1995-07-01","PHOTO IMAGES","3999100"
"WHITE","ORANGE/BLUE","1","1995-07-01","QUICK LUBE","7866331"
"GOLDEN","RED/BLUE","1","1995-07-01","RAINDANCER CAR WASH","7867348"
"PINK","BORD/BLK","1","1995-07-01","ROTTERDAM HEAT","3562162"
"IVORY","RED/BLK","1","1995-07-01","ROTTERDAM LANDSCAPING","6982100"
"CANARY","TEAL","1","1995-07-01","WONG S CHINESE","3843300"
"WHITE","BORD/TEAL","1","1995-07-01","YE OLE TERWILLIGER FARM","3990292"
"IVORY","RED/GREEN","1","1995-11-01","BURNT HILLS BOOKS","3997004"
"WHITE","GR/PURPLE","1","1995-11-01","CAPITAL CHOICE TV","8997501"
"CANARY","RED/TEAL","1","1995-11-01","DINO S PIZZA","3991622"
"WHITE","RED/BLUE","1","1995-11-01","DJ ICE CREAM","3991571"
"WHITE","TEAL/BLK","1","1995-11-01","FITNESS QUEST","3705933"
"PINK","RHOD/TEAL","1","1995-11-01","FRANK GALLO FLORIST","3466171"
"IVORY","BLK","1","1995-11-01","GAIL KING ELECTROLYSIS","3821591"
"GOLDEN","BORD/BLK","1","1995-11-01","GENE S CLEANING","3712462"
"GOLDEN","RED/BLK","1","1995-11-01","GLENVILLE BEVERAGE","3744615"
"GOLDEN","BORD/BLK","1","1995-11-01","GOLDSTOCKS SPORTS","3822037"
"WHITE","RHOD/TEAL","1","1995-11-01","J & J WINE & LIQUOR","3840649"
"GREY","BORD","1","1995-11-01","JEWELERS COLLECTIVE","3991186"
"CHERRY","BLUE","1","1995-11-01","LOLLIPOPS","3990379"
"WHITE","RED/BLK","1","1995-11-01","M & W WINDOW","3936969"
"WHITE","RED/BLUE","1","1995-11-01","MAIL BOXES ETC. 1","3992052"
"BUFF","RED/BLK","1","1995-11-01","OASIS PIZZA","3840726"
"GOLDEN","RED/GR","1","1995-11-01","ONE DOLLAR DEAL 1","3840356"
"BLUE","RED/BLUE","1","1995-11-01","PARTIES & MORE","3991198"
"CHERRY","BLUE","1","1995-11-01","PHOTO IMAGES","3999100"
"WHITE","ORANGE/BLK","1","1995-11-01","QUICK LUBE","7866331"
"GOLDEN","RED/BLUE","1","1995-11-01","RAINDANCER CAR WASH","7867348"
"PINK","BORD/BLK","1","1995-11-01","ROTTERDAM HEAT","3562162"
"WHITE","ORANGE/TEAL","1","1995-11-01","SHOP N SAVE","3840156"
"SALMON","BORD/BLK","1","1995-11-01","TERRIS BOUTIQUE","3840946"
"BLUE","RED/BLUE","1","1995-11-01","TIME WARNER SECURITY","2428990"
"LILAC","TEAL/BORD","1","1995-11-01","ULTIMATE AUTO","3814717"
"GREEN","RED","1","1995-11-01","WONG S CHINESE","3843300"
"TAQN","BORD/BLK","1","1995-11-01","YMCA","3998118"
"GREY","BORD/BLK","1","1996-03-15","CARPET CHEST","8851201"
"IVORY","BLUE/BLK","1","1996-03-15","CYCLE THERAPY","3992453"
"CANARY","TEAL/RED","1","1996-03-15","DINO S PIZZA","3991622"
"WHITE","RED/BLUE","1","1996-03-15","DJ ICE CREAM","3991571"
"PINK","RED","1","1996-03-15","EAGLE CREST  GOLF","8770406"
"BORD/BLK","IVORY","1","1996-03-15","FITNESS QUEST","3705933"
"PINK","RHOD/TEAL","1","1996-03-15","FRANK GALLO FLORIST","3466171"
"GOLDEN","BORD/BLK","1","1996-03-15","GENE S CLEANING","3712462"
"WHITE","GREEN/BLK","1","1996-03-15","GREEN THUMB LAWN","3557787"
"IVORY","BR/GR","1","1996-03-15","HENRY S DRY CLEANERS","3748434"
"WHITE","RHOD/TEAL","1","1996-03-15","J & J WINE & LIQUOR","3840649"
"CHERRY","BLUE","1","1996-03-15","LOLLIPOPS","3990379"
"WHITE","RED/BLK","1","1996-03-15","M & W WINDOW","3936969"
"WHITE","RED/BLUE","1","1996-03-15","MAIL BOXES ETC. 1","3992052"
"CANARY","RED/GREEN","1","1996-03-15","MAYFAIR PAINT","3994551"
"BLUE","RED/BLUE","1","1996-03-15","MOVIES  & MORE SUPERSTORE","3570071"
"IVORY","RED/BLK","1","1996-03-15","OASIS PIZZA","3840726"
"BLUE","RED/BLUE","1","1996-03-15","PARTIES & MORE","3991198"
"TAN","BORD/BLK","1","1996-03-15","PETTA S RESTAURANT","3467324"
"WHITE","MAG/BLK","1","1996-03-15","PHOTO IMAGES","3999100"
"WHITE","ORANGE/BLUE","1","1996-03-15","QUICK LUBE","7866331"
"GOLDEN","RED/BLUE","1","1996-03-15","RAINDANCER CAR WASH","7867348"
"PINK","BORD/BLK","1","1996-03-15","ROTTERDAM HEAT","3562162"
"CHERRY","BLK","1","1996-03-15","SCOTIA SHOE REPAIR","3816327"
"BLUE","RED/BLUE","1","1996-03-15","TIME WARNER SECURITY","2428990"
"CHERRY","BLK","1","1996-03-15","ULTIMATE AUTO","3814717"
"CANARY","MAGENTA","1","1996-03-15","WONG S CHINESE","3843300"
"PINK","MAGENTA/BLK","1","1996-07-12","ALTERNATIVE CLEANING SERVICE","3748281"
"GOLDEN","RED/BLK","1","1996-07-12","ASHLINE MOVING","2734642"
"IVORY","BORD/BLK","1","1996-07-12","D & S SERVICES","8774981"
"canary","red/teal","1","1996-07-12","DINO S PIZZA","3991622"
"PINK","RHOD/TEAL","1","1996-07-12","FRANK GALLO FLORIST","3466171"
"GOLDEN","BORDD/BLK","1","1996-07-12","GENE S CLEANING","3712462"
"LILAC","BORD/TEAL","1","1996-07-12","GLENVILLE MINI SPORTPLEX","3934140"
"IVORY","GREEN/BROWN","1","1996-07-12","HENRY S DRY CLEANERS","3748434"
"WHITE","RED/TEAL","1","1996-07-12","J & J WINE & LIQUOR","3840649"
"TAN","BORD/BLK","1","1996-07-12","JEWELERS COLLECTIVE","3991186"
"CHERRY","BLUE","1","1996-07-12","LOLLIPOPS","3990379"
"WHITE","RED/BLK","1","1996-07-12","M & W WINDOW","3936969"
"WHITE","RED/BLUE","1","1996-07-12","MAIL BOXES ETC. 1","3992052"
"LILAC","BORD/TEAL","1","1996-07-12","MANHATTAN BAGEL","3993887"
"BLUE","RED/BLUE","1","1996-07-12","MOVIES  & MORE SUPERSTORE","3570071"
"IVORY","RED/BLK","1","1996-07-12","OASIS PIZZA","3840726"
"GREY","BORD/BLK","1","1996-07-12","PARAGON PAINT","4592244"
"BLUE","RED/BLUE","1","1996-07-12","PARTIES & MORE","3991198"
"TAN","BORD/BLK","1","1996-07-12","PETTA S RESTAURANT","3467324"
"white","BORD/TEAL","1","1996-07-12","PHOTO IMAGES","3999100"
"WHITE","ORANGE/BLUE","1","1996-07-12","QUICK LUBE","7866331"
"GOLDEN","RED/BLUE","1","1996-07-12","RAINDANCER CAR WASH","7867348"
"PINK","BORD/BLK","1","1996-07-12","ROTTERDAM HEAT","3562162"
"LILAC","BLK","1","1996-07-12","SCOTIA SHOE REPAIR","3816327"
"BUFF","PURPLE/BLK","1","1996-07-12","SWEET SUE S","3931248"
"BLUE","RED/BLUE","1","1996-07-12","TIME WARNER SECURITY","2428990"
"GOLDEN","RED","1","1996-07-12","WONG S CHINESE","3843300"
"TAN","BLUE","1","1996-11-08","BURNT HILLS BOOKS","3997004"
"RED/GREEN","CANARY","1","1996-11-08","DINO S PIZZA","3991622"
"WHITE","RED/BLUE","1","1996-11-08","DJ ICE CREAM","3991571"
"PINK","RHOD/TEAL","1","1996-11-08","FRANK GALLO FLORIST","3466171"
"LILAC","TEAL/BLK","1","1996-11-08","GAIL KING ELECTROLYSIS","3821591"
"GOLDEN","BORD/BLK","1","1996-11-08","GENE S CLEANING","3712462"
"SALMON","BORD/BLK","1","1996-11-08","GOLDSTOCKS SPORTS","3822037"
"GREY","BORD/GREEN","1","1996-11-08","GOOD TIMES INN","3999976"
"IVORY","BROWN/GREEN","1","1996-11-08","HENRY S DRY CLEANERS","3748434"
"WHITE","RHOD/TEAL","1","1996-11-08","J & J WINE & LIQUOR","3840649"
"CHERRY","BLUE","1","1996-11-08","LOLLIPOPS","3990379"
"WHITE","RED/BLK","1","1996-11-08","M & W WINDOW","3936969"
"WHITE","BLUE/RED","1","1996-11-08","MAIL BOXES ETC. 1","3992052"
"BLUE","RED/BLUE","1","1996-11-08","MOVIES  & MORE SUPERSTORE","3570071"
"IVORY","RED/BLK","1","1996-11-08","OASIS PIZZA","3840726"
"BLUE","RED/BLUE","1","1996-11-08","PARTIES & MORE","3991198"
"IVORY","RHOD/BLK","1","1996-11-08","PETTA S RESTAURANT","3467324"
"WHITE","TEAL/BORD","1","1996-11-08","PHOTO IMAGES","3999100"
"ORANGE/BLUE","WHITE","1","1996-11-08","QUICK LUBE","7866331"
"GOLDEN","RED/BLUE","1","1996-11-08","RAINDANCER CAR WASH","7867348"
"PINK","BORD/BLK","1","1996-11-08","ROTTERDAM HEAT","3562162"
"LILAC","BLK","1","1996-11-08","SCOTIA SHOE REPAIR","3816327"
"BLUE","RED/BLUE","1","1996-11-08","TIME WARNER SECURITY","2428990"
"CANARY","RED/BLUE","1","1996-11-08","TRAVELIN PHOTOGRAPHER","3997803"
"SALMON","BORD/GREEN","1","1996-11-08","WILSON PRATT JEWELRY","3842035"
"GOLDEN","RED","1","1996-11-08","WONG S CHINESE","3843300"
"TAN","BORD/BLK","1","1996-11-08","YMCA","3998118"
"TAN","BORD","1","1997-03-21","ADIRONDACK CAMCORDER","8848142"
"GOLDEN","RED/BLK","1","1997-03-21","ASHLINE MOVING","2734642"
"IVORY","BORD/BLK","1","1997-03-21","D & S SERVICES","8774981"
"CANARY","RED/TEAL","1","1997-03-21","DINO S PIZZA","3991622"
"WHITE","RED/BLUE","1","1997-03-21","DJ ICE CREAM","3991571"
"PINK","RED","1","1997-03-21","EAGLE CREST  GOLF","8770406"
"PINK","RHOD/TEAL","1","1997-03-21","FRANK GALLO FLORIST","3466171"
"GOLDEN","BORD/BLK","1","1997-03-21","GENE S CLEANING","3712462"
"IVORY","BROWN/GREEN","1","1997-03-21","HENRY S DRY CLEANERS","3748434"
"WHITE","RHOD/TEAL","1","1997-03-21","J & J WINE & LIQUOR","3840649"
"CHERRY","BLUE","1","1997-03-21","LOLLIPOPS","3990379"
"WHITE","RED/BLK","1","1997-03-21","M & W WINDOW","3936969"
"WHITE","RED/BLUE","1","1997-03-21","MAIL BOXES ETC. 1","3992052"
"GREY","RED/BLUE","1","1997-03-21","MAYFAIR PAINT","3994551"
"BLUE","RED/BLUE","1","1997-03-21","MOVIES  & MORE SUPERSTORE","3570071"
"IVORY","RED/GREEN","1","1997-03-21","OASIS PIZZA","3840726"
"BLUE","RED/BLUE","1","1997-03-21","PARTIES & MORE","3991198"
"PINK","RED/BLUE","1","1997-03-21","PEPSI ARENA","4872007"
"GREEN","BORD","1","1997-03-21","PETTA S RESTAURANT","3467324"
"WHITE","BORD/TEAL","1","1997-03-21","PHOTO IMAGES","3999100"
"WHITE","ORANGE/BLUE","1","1997-03-21","QUICK LUBE","7866331"
"GOLDEN","RED/BLUE","1","1997-03-21","RAINDANCER CAR WASH","7867348"
"PINK","BORD/BLK","1","1997-03-21","ROTTERDAM HEAT","3562162"
"CANARY","RED/BLK","1","1997-03-21","ROTTERDAM LANDSCAPING","6982100"
"LILAC","BLK","1","1997-03-21","SCOTIA SHOE REPAIR","3816327"
"SALMON","BORD/GREEN","1","1997-03-21","WILSON PRATT JEWELRY","3842035"
"GOLDEN","RED","1","1997-03-21","WONG S CHINESE","3843300"
"GREEN","RED/BLK","1","1997-07-25","BUMPYS ICE CREAM","3953314"
"SALMON","BLK","1","1997-07-25","BURNT HILLS BOOKS","3997004"
"GREY","MAG/BLK","1","1997-07-25","BURNT HILLS OPTICAL","3996130"
"IVORY","BORD/BLK","1","1997-07-25","D & S SERVICES","8774981"
"CANARY","RED/BLK","1","1997-07-25","DINO S PIZZA","3991622"
"SALMON","BORD/TEAL","1","1997-07-25","FRAMING CONCEPTS","3842261"
"PINK","RHOD/TEAL","1","1997-07-25","FRANK GALLO FLORIST","3466171"
"GOLDEN","BORD/BLK","1","1997-07-25","GENE S CLEANING","3712462"
"PINK","MAGENTA/TEAL","1","1997-07-25","GLENVILLE MINI SPORTPLEX","3934140"
"IVORY","BROWN/GREEN","1","1997-07-25","HENRY S DRY CLEANERS","3748434"
"WHITE","GREEN/BORD","1","1997-07-25","IMMANUEL ELECTRIC","3994348"
"WHITE","RED/TEAL","1","1997-07-25","J & J WINE & LIQUOR","3840649"
"CHERRY","BLUE","1","1997-07-25","LOLLIPOPS","3990379"
"WHITE","RED/BLK","1","1997-07-25","M & W WINDOW","3936969"
"WHITE","RED/BLUE","1","1997-07-25","MAIL BOXES ETC. 1","3992052"
"BLUE","RED/BLUE","1","1997-07-25","MOVIES  & MORE SUPERSTORE","3570071"
"IVORY","RED/BLK","1","1997-07-25","OASIS PIZZA","3840726"
"GOLDEN","RED/BLK","1","1997-07-25","PAI S TAEKWON DO","3991008"
"GREY","BORD/BLK","1","1997-07-25","PARAGON PAINT","4592244"
"BLUE","RED/BLUE","1","1997-07-25","PARTIES & MORE","3991198"
"IVORY","RHOD/BLK","1","1997-07-25","PETTA S RESTAURANT","3467324"
"WHITE","ORANGE/BLUE","1","1997-07-25","QUICK LUBE","7866331"
"GOLDEN","RED/BLUE","1","1997-07-25","RAINDANCER CAR WASH","7867348"
"PINK","BORD/BLK","1","1997-07-25","ROTTERDAM HEAT","3562162"
"BLUE","RED/BLUE","1","1997-07-25","TIME WARNER SECURITY","2428990"
"GOLDEN","RED","1","1997-07-25","WONG S CHINESE","3843300"
"GREEN","RED","1","1997-11-14","BURNT HILLS BOOKS","3997004"
"LILAC","MAGENTA/GREEN","1","1997-11-14","BURNT HILLS OPTICAL","3996130"
"IVORY","MAG/GREEN","1","1997-11-14","CJ CUE N CONE","3473405"
"CANARY","RED/TEAL","1","1997-11-14","DINO S PIZZA","3991622"
"WHITE","RED/BLK","1","1997-11-14","ELITE HEALTH & FITNESS","3777771"
"WHITE","BLUE/BLK","1","1997-11-14","EPIC","3323742"
"LILAC","BORD/BLK","1","1997-11-14","FANTASTIC SAM S 2","4594955"
"PINK","RHOD/TEAL","1","1997-11-14","FRANK GALLO FLORIST","3466171"
"BUFF","RHOD/GREEN","1","1997-11-14","GALLERY 44","3744411"
"GOLDEN","BORD/BLK","1","1997-11-14","GENE S CLEANING","3712462"
"IVORY","GREEN/BROWN","1","1997-11-14","HENRY S DRY CLEANERS","3748434"
"WHITE","BORD/GREEN","1","1997-11-14","IMMANUEL ELECTRIC","3994348"
"WHITE","RED/GREEN","1","1997-11-14","J & J WINE & LIQUOR","3840649"
"WHITE","RED/BLK","1","1997-11-14","M & W WINDOW","3936969"
"BLUE","RED/BLUE","1","1997-11-14","MAIL BOXES ETC. 1","3992052"
"WHITE","RED/BLUE","1","1997-11-14","MANHATTAN BAGEL","3993887"
"GOLDEN","RED/BLK","1","1997-11-14","MOTO PHOTO CP","3836360"
"BLUE","RED/BLUE","1","1997-11-14","MOVIES  & MORE SUPERSTORE","3570071"
"BUFF","RED/BLK","1","1997-11-14","OASIS PIZZA","3840726"
"SALMON","BORD/BLK","1","1997-11-14","OTC REFUSE","3819617"
"GREY","BORD/BLK","1","1997-11-14","PARAGON PAINT","4592244"
"BLUE","RED/BLUE","1","1997-11-14","PARTIES & MORE","3991198"
"IVORY","RHOD/BLK","1","1997-11-14","PETTA S RESTAURANT","3467324"
"WHITE","ORANGE/BLUE","1","1997-11-14","QUICK LUBE","7866331"
"RED/BLUE","GOLDEN","1","1997-11-14","RAINDANCER CAR WASH","7867348"
"PINK","BORD/BLK","1","1997-11-14","ROTTERDAM HEAT","3562162"
"CHERRY","BLK","1","1997-11-14","SCOTIA SHOE REPAIR","3816327"
"GOLDEN","RED","1","1997-11-14","WONG S CHINESE","3843300"
"GREEN","RED/BLK","1","1997-11-14","YMCA","3998118"
"LILAC","BLK","1","1998-03-20","BURNT HILLS BOOKS","3997004"
"CANARY","RED/GREEN","1","1998-03-20","DINO S PIZZA","3991622"
"WHITE","RED/BLK","1","1998-03-20","ELITE HEALTH & FITNESS","3777771"
"CANARY","RED/BLK","1","1998-03-20","EMERICH SALES","3998574"
"LILAC","BORD/BLK","1","1998-03-20","FANTASTIC SAM S 2","4594955"
"PINK","RHOD/TEAL","1","1998-03-20","FRANK GALLO FLORIST","3466171"
"TAN","MAGENTA/GREEN","1","1998-03-20","GALLERY 44","3744411"
"GOLDEN","BORD/BLK","1","1998-03-20","GENE S CLEANING","3712462"
"PINK","MAGENTA/TEAL","1","1998-03-20","GLENVILLE MINI SPORTPLEX","3934140"
"SALMON","BORD/BLK","1","1998-03-20","GOLDSTOCKS SPORTS","3822037"
"IVORY","GREEN/BROWN","1","1998-03-20","HENRY S DRY CLEANERS","3748434"
"WHITE","RED/TEAL","1","1998-03-20","J & J WINE & LIQUOR","3840649"
"GREY","MAGENTA/BLK","1","1998-03-20","J & R CARPET","3841055"
"CHERRY","BLUE","1","1998-03-20","LOLLIPOPS","3990379"
"WHITE","RED/BLK","1","1998-03-20","M & W WINDOW","3936969"
"","","1","1998-03-20","MAIL BOXES ETC. 1","3992052"
"WHITE","RED/BLUE","1","1998-03-20","MANHATTAN BAGEL","3993887"
"BLUE","RED/BLUE","1","1998-03-20","MOVIES  & MORE SUPERSTORE","3570071"
"IVORY","TED/BLK","1","1998-03-20","OASIS PIZZA","3840726"
"GOLDEN","RED/BLK","1","1998-03-20","PAI S TAEKWON DO","3991008"
"PEACH","MAGENTA/TEAL","1","1998-03-20","PARTIES & MORE","3991198"
"WHITE","RED/BLK","1","1998-03-20","PEEP PAGING","3841391"
"WHITE","ORANGE/BLUE","1","1998-03-20","QUICK LUBE","7866331"
"GOLDEN","RED/BLUE","1","1998-03-20","RAINDANCER CAR WASH","7867348"
"PINK","BORD/BLK","1","1998-03-20","ROTTERDAM HEAT","3562162"
"CANARY","RED/BLK","1","1998-03-20","ROTTERDAM LANDSCAPING","6982100"
"PINK","BORD/BLK","1","1998-03-20","SONDRAS JEWELRY","3725853"
"BLUE","RED/BLUE","1","1998-03-20","TIME WARNER SECURITY","2428990"
"TAN","MAGENTA/BLK","1","1998-03-20","WONG S CHINESE","3843300"
"GREY","BORD/BLK","1","1998-03-20","YMCA","3998118"
"CHERRY","BLK","1","1998-07-17","BURNT HILLS BOOKS","3997004"
"TAN","BORD/GREEN","1","1998-07-17","BURNT HILLS OPTICAL","3996130"
"IVORY","BORD/BLK","1","1998-07-17","D & S SERVICES","8774981"
"CANARY","RED/GREEN","1","1998-07-17","DINO S PIZZA","3991622"
"PEACH","MAGENTA/BLUE","1","1998-07-17","DJ ICE CREAM","3991571"
"WHITE","RED/BLK","1","1998-07-17","ELITE HEALTH & FITNESS","3777771"
"LILAC","BORD/BLK","1","1998-07-17","FANTASTIC SAM S 2","4594955"
"PINK","RHOD/TEAL","1","1998-07-17","FRANK GALLO FLORIST","3466171"
"WHITE","ORANGE/BLUE","1","1998-07-17","GALENA ASSOCIATES","5825320"
"GOLDEN","BORD/BLK","1","1998-07-17","GENE S CLEANING","3712462"
"PINK","RHOD/TEAL","1","1998-07-17","GLENVILLE MINI SPORTPLEX","3934140"
"SALMON","BORD/BLK","1","1998-07-17","GOLDSTOCKS SPORTS","3822037"
"IVORY","BROWN/GREEN","1","1998-07-17","HENRY S DRY CLEANERS","3748434"
"WHITE","MAGENTA/BLUE","1","1998-07-17","IMMANUEL ELECTRIC","3994348"
"WHITE","RED/TEAL","1","1998-07-17","J & J WINE & LIQUOR","3840649"
"GREEN","BORD/BLK","1","1998-07-17","JG ROMAN VILLA","3552090"
"BUFF","RED/BLK","1","1998-07-17","JH BUHRMASTER CO","3820260"
"CHERRY","BLUE","1","1998-07-17","LOLLIPOPS","3990379"
"WHITE","RED/BLK","1","1998-07-17","M & W WINDOW","3936969"
"WHITE","RED/BLUE","1","1998-07-17","MAIL BOXES ETC. 1","3992052"
"WHITE","RED/BLUE","1","1998-07-17","MANHATTAN BAGEL","3993887"
"BLUE","RED/BLUE","1","1998-07-17","MOVIES  & MORE SUPERSTORE","3570071"
"GREY","MAGENTA/BLUE","1","1998-07-17","MULTIPLE INCOME STREAMS","4466492"
"GREY","BORD/GREEN","1","1998-07-17","PARAGON PAINT","4592244"
"PEACH","MAG/BLUE","1","1998-07-17","PARTIES & MORE","3991198"
"GOLDEN","RED/BLUE","1","1998-07-17","RAINDANCER CAR WASH","7867348"
"PINK","BORD/BLK","1","1998-07-17","ROTTERDAM HEAT","3562162"
"GOLDEN","RED/BLK","1","1998-07-17","SUBWAY 1","5849141"
"BLUE","RED/BLUE","1","1998-07-17","TIME WARNER SECURITY","2428990"
"GOLDEN","RED","1","1998-07-17","WONG S CHINESE","3843300"
"BUFF","RED/BLK","1","1998-11-07","CAPITAL WIRELESS","0000000"
"PEACH","MAGENTA","1","1998-11-13","BURNT HILLS BOOKS","3997004"
"PEACH","MAG/TEAL","1","1998-11-13","DJ ICE CREAM","3991571"
"WHITE","RED/BLK","1","1998-11-13","ELITE HEALTH & FITNESS","3777771"
"WHITE","MAGENTA/TEAL","1","1998-11-13","NAILS 2000","0000000"
"PEACH","MAGENTA/GREEN","1","1998-11-16","A STAIN IN THE GLASS","0000000"
"WHITE","RED/BLUE","1","1998-11-16","BURNT HILLS OPTICAL","3996130"
"white","red/blue","1","1998-11-16","CULLIGAN","3741805"
"CANARY","GREEN/RED","1","1998-11-16","DINO S PIZZA","3991622"
"PINK","RED/GREEN","1","1998-11-16","FANTASTIC SAM S 2","4594955"
"PINK","MAGENTA/TEAL","1","1998-11-16","FRANK GALLO FLORIST","3466171"
"GOLDEN","BORD/BLK","1","1998-11-16","GENE S CLEANING","3712462"
"SALMON","BORD/BLK]","1","1998-11-16","GOLDSTOCKS SPORTS","3822037"
"IVORY","BROWN/GREEN","1","1998-11-16","HENRY S DRY CLEANERS","3748434"
"WHITE","MAGENTA/BLUE","1","1998-11-16","IMMANUEL ELECTRIC","3994348"
"WHITE","RED/TEAL","1","1998-11-16","J & J WINE & LIQUOR","3840649"
"GREY","BORD/BLK","1","1998-11-16","J & R CARPET","3841055"
"CHERRY","BLUE","1","1998-11-16","LOLLIPOPS","3990379"
"WHITE","RED/BLK","1","1998-11-16","M & W WINDOW","3936969"
"WHITE","RED/BLUE","1","1998-11-16","MAIL BOXES ETC. 1","3992052"
"LILAC","RED/BLUE","1","1998-11-16","MANHATTAN BAGEL","3993887"
"BLUE","REDE/BLUE","1","1998-11-16","MOVIES  & MORE SUPERSTORE","3570071"
"PEACH","MAGENTA/TEAL","1","1998-11-16","PARTIES & MORE","3991198"
"GOLDEN","RED/BLUE","1","1998-11-16","RAINDANCER CAR WASH","7867348"
"WHITE","RED/BLUE","1","1998-11-16","REMAX PROPERTY 1","4358000"
"PINK","BORD/BLK","1","1998-11-16","ROTTERDAM HEAT","3562162"
"PEACH","MAGENTA/BLUE","1","1998-11-16","RUDNICKS","3726486"
"CANARY","GREEN/BLK","1","1998-11-16","SUBWAY 1","5849141"
"BLUE","RED/BLUE","1","1998-11-16","TIME WARNER SECURITY","2428990"
"GOLDEN","BORD/BLK","1","1998-11-16","YMCA","3998118"
"PINK","BORD","1","1999-03-19","BURNT HILLS BOOKS","3997004"
"","","1","1999-03-19","BURNT HILLS LANES","3990999"
"","","1","1999-03-19","DINO S PIZZA","3991622"
"","","1","1999-03-19","FANTASTIC SAM S 2","4594955"
"","","1","1999-03-19","FRANK GALLO FLORIST","3466171"
"","","1","1999-03-19","FURNITURE BARN","3466499"
"","","1","1999-03-19","GARAGE DOORS ETC","8844091"
"","","1","1999-03-19","GENE S CLEANING","3712462"
"","","1","1999-03-19","GLENVILLE MINI SPORTPLEX","3934140"
