zoning date,Zone Cost
2014-01-31 00:00:00,660.0
2014-02-06 00:00:00,660.0
2014-02-21 00:00:00,660.0
2014-03-07 00:00:00,660.0
2014-03-14 00:00:00,660.0
2014-03-28 00:00:00,660.0
2014-04-01 00:00:00,660.0
2014-04-11 00:00:00,660.0
2014-04-29 00:00:00,660.0
2014-05-01 00:00:00,660.0
2014-05-10 00:00:00,660.0
2014-05-16 00:00:00,660.0
2014-05-30 00:00:00,660.0
2014-06-06 00:00:00,660.0
2014-07-10 00:00:00,660.0
2014-07-17 00:00:00,660.0
2014-08-01 00:00:00,660.0
2014-08-05 00:00:00,660.0
2014-08-07 00:00:00,660.0
2014-08-22 00:00:00,660.0
2014-09-09 00:00:00,660.0
2014-09-11 00:00:00,660.0
2014-10-03 00:00:00,660.0
2014-10-09 00:00:00,660.0
2001-09-14 00:00:00,560.0
2004-01-05 00:00:00,585.0
2004-04-16 00:00:00,620.0
2004-12-10 00:00:00,620.0
2006-07-25 00:00:00,650.0
2006-10-25 00:00:00,650.0
1998-11-16 00:00:00,515.0
2021-01-18 00:00:00,675.0
2022-01-17 00:00:00,750.0
1996-08-19 00:00:00,515.0
1996-12-06 00:00:00,515.0
2020-11-19 00:00:00,600.0
1996-05-20 00:00:00,515.0
1996-10-18 00:00:00,515.0
1997-02-03 00:00:00,550.0
1997-05-23 00:00:00,550.0
1997-10-10 00:00:00,550.0
1998-06-19 00:00:00,515.0
1998-09-28 00:00:00,405.0
2002-06-14 00:00:00,535.0
2002-10-18 00:00:00,430.0
2002-10-19 00:00:00,55.0
2003-02-24 00:00:00,585.0
2003-06-10 00:00:00,585.0
2003-10-01 00:00:00,585.0
2004-01-30 00:00:00,585.0
2004-05-14 00:00:00,585.0
2004-08-16 00:00:00,585.0
2005-08-09 00:00:00,634.0
2006-03-14 00:00:00,650.0
2006-05-26 00:00:00,650.0
2006-09-07 00:00:00,650.0
2007-09-25 00:00:00,645.0
2008-04-08 00:00:00,680.0
2008-06-23 00:00:00,680.0
2011-07-11 00:00:00,675.0
2011-10-12 00:00:00,675.0
2012-03-28 00:00:00,675.0
2012-06-26 00:00:00,475.0
2013-03-22 00:00:00,585.0
2013-06-17 00:00:00,400.0
2014-04-25 00:00:00,570.0
2014-07-17 00:00:00,525.0
2015-03-30 00:00:00,580.0
2015-09-16 00:00:00,350.0
2016-06-28 00:00:00,475.0
2016-10-12 00:00:00,475.0
2017-06-19 00:00:00,475.0
2017-09-28 00:00:00,475.0
2018-09-25 00:00:00,595.0
2019-10-02 00:00:00,625.0
2012-12-27 00:00:00,595.0
2008-05-14 00:00:00,645.0
1999-11-15 00:00:00,540.0
1999-12-10 00:00:00,575.0
2000-02-21 00:00:00,615.0
2000-03-13 00:00:00,575.0
2000-03-24 00:00:00,575.0
2000-04-19 00:00:00,575.0
2000-05-11 00:00:00,575.0
2000-05-12 00:00:00,575.0
2000-05-26 00:00:00,575.0
2000-06-26 00:00:00,575.0
2000-07-01 00:00:00,575.0
2000-07-27 00:00:00,575.0
2000-08-25 00:00:00,575.0
2000-08-28 00:00:00,575.0
2000-09-15 00:00:00,575.0
2000-09-29 00:00:00,575.0
1996-11-08 00:00:00,515.0
1997-04-21 00:00:00,550.0
2010-11-14 00:00:00,600.0
2011-01-02 00:00:00,475.0
2011-08-31 00:00:00,600.0
2008-07-30 00:00:00,645.0
2008-08-28 00:00:00,645.0
2008-10-09 00:00:00,645.0
2008-10-15 00:00:00,645.0
2016-08-15 00:00:00,645.0
2007-01-30 00:00:00,655.0
2007-05-18 00:00:00,655.0
2007-06-19 00:00:00,655.0
2010-04-08 00:00:00,525.0
1998-10-30 00:00:00,515.0
1999-06-25 00:00:00,605.0
2007-06-18 00:00:00,645.0
2003-02-21 00:00:00,560.0
2003-06-13 00:00:00,585.0
2003-10-06 00:00:00,585.0
2004-02-10 00:00:00,585.0
2004-05-13 00:00:00,585.0
2004-08-23 00:00:00,585.0
2004-11-15 00:00:00,585.0
2005-02-02 00:00:00,585.0
2005-05-13 00:00:00,634.0
2005-11-21 00:00:00,634.0
2006-02-10 00:00:00,650.0
2006-08-19 00:00:00,650.0
2014-01-20 00:00:00,595.0
2011-03-23 00:00:00,675.0
2024-01-10 00:00:00,695.0
2002-08-30 00:00:00,585.0
2003-02-03 00:00:00,585.0
2003-02-12 00:00:00,585.0
2003-03-17 00:00:00,585.0
2016-02-01 00:00:00,595.0
2016-02-05 00:00:00,595.0
2007-07-16 00:00:00,645.0
2011-04-13 00:00:00,675.0
2011-07-25 00:00:00,475.0
2011-10-31 00:00:00,475.0
2012-01-20 00:00:00,475.0
2012-04-19 00:00:00,475.0
2012-07-17 00:00:00,475.0
2012-11-14 00:00:00,475.0
2013-01-31 00:00:00,475.0
2013-08-09 00:00:00,475.0
